35.0179, 36.0000, 164.5000, 0, 0,0,0
0, -0.0001,-0.0544,-0.0044,0.0001,-0.0001,1.3209
1, -0.0164,0.0039,-0.0087,0.0000,-0.0001,1.3163
2, -0.0615,0.0063,0.0062,0.0000,-0.0000,1.2969
3, -0.1349,-0.0018,0.0067,0.0000,-0.0000,1.2657
4, -0.2297,0.0013,0.0025,0.0000,-0.0000,1.2250
5, -0.3448,-0.0037,-0.0331,-0.0000,-0.0002,1.1761
6, -0.4780,0.0018,-0.0048,0.0000,-0.0001,1.1206
7, -0.6255,0.0008,-0.0043,0.0000,-0.0001,1.0597
8, -0.7829,-0.0025,0.0006,0.0001,-0.0001,0.9949
9, -0.9469,0.0080,0.0051,0.0000,0.0000,0.9282
10, -1.1163,0.0006,-0.0002,0.0000,-0.0001,0.8608
11, -1.2862,0.0010,-0.0033,-0.0000,-0.0001,0.7937
12, -1.4541,-0.0002,-0.0002,0.0000,-0.0000,0.7293
13, -1.6168,0.0002,0.0004,0.0000,-0.0000,0.6685
14, -1.7709,-0.0004,-0.0019,-0.0000,-0.0000,0.6131
15, -1.9138,0.0004,0.0003,0.0000,-0.0000,0.5644
16, -2.0410,0.0063,-0.0031,0.0001,0.0000,0.5242
17, -2.1508,0.0001,0.0010,0.0002,-0.0001,0.4937
18, -2.2391,0.0020,0.0012,0.0002,-0.0001,0.4741
19, -2.3028,-0.0017,0.0003,0.0001,-0.0002,0.4674
20, -2.3516,-0.0017,0.0040,-0.0007,-0.0005,0.4675
21, -2.3969,-0.0102,0.0178,-0.0033,-0.0014,0.4675
22, -2.4382,-0.0232,0.0333,-0.0075,-0.0027,0.4679
23, -2.4768,-0.0425,0.0634,-0.0129,-0.0048,0.4685
24, -2.5118,-0.0644,0.0978,-0.0198,-0.0072,0.4694
25, -2.5442,-0.0912,0.1347,-0.0277,-0.0100,0.4709
26, -2.5732,-0.1222,0.1782,-0.0367,-0.0132,0.4728
27, -2.5996,-0.1573,0.2245,-0.0466,-0.0167,0.4754
28, -2.6235,-0.1928,0.2746,-0.0572,-0.0204,0.4788
29, -2.6444,-0.2327,0.3259,-0.0685,-0.0243,0.4829
30, -2.6635,-0.2741,0.3814,-0.0802,-0.0284,0.4877
31, -2.6802,-0.3162,0.4375,-0.0923,-0.0326,0.4937
32, -2.6952,-0.3590,0.4952,-0.1045,-0.0369,0.5007
33, -2.7078,-0.4023,0.5528,-0.1168,-0.0412,0.5088
34, -2.7192,-0.4449,0.6102,-0.1290,-0.0455,0.5182
35, -2.7287,-0.4872,0.6671,-0.1410,-0.0496,0.5287
36, -2.7357,-0.5285,0.7217,-0.1527,-0.0537,0.5409
37, -2.7430,-0.5671,0.7743,-0.1640,-0.0576,0.5547
38, -2.7477,-0.6034,0.8244,-0.1746,-0.0613,0.5699
39, -2.7498,-0.6399,0.8688,-0.1846,-0.0648,0.5873
40, -2.7532,-0.6709,0.9118,-0.1936,-0.0680,0.6064
41, -2.7547,-0.6991,0.9486,-0.2018,-0.0708,0.6278
42, -2.7571,-0.7222,0.9818,-0.2086,-0.0732,0.6503
43, -2.7570,-0.7423,1.0072,-0.2143,-0.0752,0.6756
44, -2.7570,-0.7579,1.0259,-0.2186,-0.0767,0.7032
45, -2.7592,-0.7642,1.0400,-0.2211,-0.0776,0.7324
46, -2.7578,-0.7691,1.0431,-0.2221,-0.0780,0.7643
47, -2.7561,-0.7645,1.0438,-0.2195,-0.0763,0.7983
48, -2.7450,-0.7584,1.0415,-0.2116,-0.0715,0.8348
49, -2.7296,-0.7451,1.0392,-0.1992,-0.0637,0.8741
50, -2.7087,-0.7277,1.0367,-0.1821,-0.0531,0.9140
51, -2.6828,-0.7052,1.0344,-0.1607,-0.0400,0.9553
52, -2.6517,-0.6807,1.0301,-0.1360,-0.0246,1.0000
53, -2.6173,-0.6527,1.0261,-0.1076,-0.0070,1.0444
54, -2.5775,-0.6200,1.0199,-0.0762,0.0124,1.0908
55, -2.5357,-0.5868,1.0147,-0.0420,0.0336,1.1364
56, -2.4912,-0.5482,1.0118,-0.0054,0.0563,1.1834
57, -2.4428,-0.5097,1.0046,0.0333,0.0801,1.2306
58, -2.3935,-0.4689,0.9992,0.0736,0.1050,1.2777
59, -2.3416,-0.4267,0.9932,0.1152,0.1309,1.3252
60, -2.2903,-0.3855,0.9867,0.1580,0.1572,1.3713
61, -2.2360,-0.3437,0.9802,0.2012,0.1840,1.4171
62, -2.1809,-0.2987,0.9719,0.2453,0.2114,1.4646
63, -2.1255,-0.2546,0.9644,0.2889,0.2383,1.5085
64, -2.0724,-0.2115,0.9591,0.3322,0.2652,1.5516
65, -2.0200,-0.1697,0.9520,0.3750,0.2916,1.5937
66, -1.9686,-0.1293,0.9464,0.4170,0.3177,1.6352
67, -1.9189,-0.0902,0.9394,0.4573,0.3427,1.6732
68, -1.8702,-0.0517,0.9331,0.4961,0.3667,1.7100
69, -1.8252,-0.0158,0.9270,0.5331,0.3897,1.7448
70, -1.7829,0.0203,0.9217,0.5676,0.4111,1.7769
71, -1.7466,0.0512,0.9153,0.6003,0.4316,1.8091
72, -1.7096,0.0803,0.9115,0.6274,0.4481,1.8304
